ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,language,Glottolog_Name
Abidji,Abidji,,5.65656,-4.58421,abid1235,,,Abidji,Abidji
Afrikaans,Afrikaans,,-22.0,30.0,afri1274,,,Afrikaans,Afrikaans
AkanTwi,AkanTwi,,,,twii1234,,,AkanTwi,Twi
Albanian,Albanian,,,,alba1267,,,Albanian,Albanian
Amharic,Amharic,,11.708182,39.543456,amha1245,,,Amharic,Amharic
ArabicGulf,ArabicGulf,,30.17,47.5,gulf1241,,,ArabicGulf,Gulf Arabic
ArabicMoroccan,ArabicMoroccan,,32.5,-7.5,moro1292,,,ArabicMoroccan,Moroccan Arabic
ArmenianEastern,ArmenianEastern,,40.0,45.0,nucl1235,,,ArmenianEastern,Eastern Armenian
ArmenianWestern,ArmenianWestern,,40.1897,44.4839,homs1234,,,ArmenianWestern,Western Armenian
Bafut,Bafut,,6.14153,10.1194,bafu1246,,,Bafut,Bafut
Bambara,Bambara,,12.9,-7.65,bamb1269,,,Bambara,Bambara
Bandial,Bandial,,12.5258,-16.4245,band1340,,,Bandial,Bandial
Bangla,Bangla,,24.0,90.0,beng1280,,,Bangla,Bengali
Basaa,Basaa,,3.80765,10.4213,basa1284,,,Basaá,Basa (Cameroon)
CantoneseGuangzhou,CantoneseGuangzhou,,23.1253503,112.9476548,guan1279,,,CantoneseGuangzhou,Guangzhou
Catalan,Catalan,,41.453,1.569,stan1289,,,Catalan,Catalan
Chickasaw,Chickasaw,,34.0,-88.0,chic1270,,,Chickasaw,Chickasaw
ChineseWuhu,ChineseWuhu,,,,wuhu1235,,,ChineseWuhu,Wuhua
Croatian,Croatian,,45.555,15.982,croa1245,,,Croatian,Croatian Standard
DagaraBurkina,DagaraBurkina,,11.0441,-3.0124,nort2780,,,DagaraBurkina,Northern Dagara
Danish,Danish,,54.8655,9.36284,dani1285,,,Danish,Danish
Dholuo,Dholuo,,-0.93296,34.4896,luok1236,,,Dholuo,Luo (Kenya and Tanzania)
DidaLakotadieko,DidaLakotadieko,,5.86012,-5.40633,lako1244,,,DidaLakotadiéko,Lakota Dida
Dutch,Dutch,,52.0,5.0,dutc1256,,,Dutch,Dutch
English,English,,53.0,-1.0,stan1293,,,English,English
EnglishOld,EnglishOld,,51.06,-1.31,olde1238,,,EnglishOld,Old English (ca. 450-1100)
