taxon,language,glottocode
Abidji,Abidji,abid1235
Afrikaans,Afrikaans,afri1274
AkanTwi,AkanTwi,twii1234
Albanian,Albanian,alba1267
Amharic,Amharic,amha1245
ArabicGulf,ArabicGulf,gulf1241
ArabicMoroccan,ArabicMoroccan,moro1292
ArmenianEastern,ArmenianEastern,nucl1235
ArmenianWestern,ArmenianWestern,homs1234
Bafut,Bafut,bafu1246
Bambara,Bambara,bamb1269
Bandial,Bandial,band1340
Bangla,Bangla,beng1280
Basaa,Basaá,basa1284
CantoneseGuangzhou,CantoneseGuangzhou,guan1279
Catalan,Catalan,stan1289
Chickasaw,Chickasaw,chic1270
ChineseWuhu,ChineseWuhu,wuhu1235
Croatian,Croatian,croa1245
DagaraBurkina,DagaraBurkina,nort2780
Danish,Danish,dani1285
Dholuo,Dholuo,luok1236
DidaLakotadieko,DidaLakotadiéko,lako1244
Dutch,Dutch,dutc1256
English,English,stan1293
EnglishOld,EnglishOld,olde1238
EnglishSingapore,EnglishSingapore,sing1272
Faroese,Faroese,faro1244
Finnish,Finnish,finn1318
FlemishWest,FlemishWest,vlaa1240
French,French,stan1290
FrenchOld,FrenchOld,oldf1239
Ga,Ga,gaaa1244
galician,galician,gali1258
Garifuna,Garifuna,gari1256
Georgian,Georgian,nucl1302
German,German,stan1295
Gothic,Gothic,goth1244
Greek,Greek,mode1248
GreekAncient,GreekAncient,anci1242
GreekCalabria,GreekCalabria,aspr1238
GreekCappadocian,GreekCappadocian,capp1239
GreekCypriot,GreekCypriot,cypr1249
GreekHomer,GreekHomer,anci1242
GreekMedieval,GreekMedieval,medi1251
Guebie,Guébie,gabo1234
GungbePorto-Novo,GungbePorto-Novo,gunn1250
Haitian,Haitian,hait1244
Hausa,Hausa,haus1257
Hebrew,Hebrew,hebr1245
HebrewBiblical,HebrewBiblical,bibl1238
Hoan,Hoan,hoaa1235
Hungarian,Hungarian,hung1274
Ibibio,Ibibio,ibib1240
Icelandic,Icelandic,icel1247
Igbo,Igbo,nucl1417
Indonesian,Indonesian,indo1316
Italian,Italian,ital1282
ItalyNapoletanoAntico,ItalyNapoletanoAntico,napo1241
ItalyNorthernCalabrese,ItalyNorthernCalabrese,nort2612
ItalyReggiano,ItalyReggiano,emil1241
ItalySiciliano,ItalySiciliano,sici1248
ItalyTeramano,ItalyTeramano,neap1235
Japanese,Japanese,nucl1643
Kiche,Kiche,kich1262
KiLega,KiLega,lega1253
Kiyaka,Kiyaka,yaka1270
Kom,Kom,komc1235
Korean,Korean,kore1280
Kuot,Kuot,kuot1243
KurdishSorani,KurdishSorani,sora1257
Kusaal,Kusaal,kusa1250
Kusunda,Kusunda,kusu1250
Laal,Laal,laal1242
Latin,Latin,lati1261
LatinLate,LatinLate,late1252
Mada,Mada,mada1293
Malagasy,Malagasy,plat1254
Mandarin,Mandarin,mand1415
Marshallese,Marshallese,mars1254
Miya,Miya,miya1266
Moduokru,mɔ́dӡúkrù,adio1239
Munduruku,Mundurukú,mund1330
Muyang,Muyang,muya1243
NahuatlCentralHuasteca,NahuatlCentralHuasteca,cent2134
Nepali,Nepali,east1436
Norwegian,Norwegian,norw1258
Nupe,Nupe,nupe1254
Nweh,Nweh,ngwe1238
NzimaTiapoum,NzimaTiapoum,nzim1238
OluwangaEji,OluwangaEji,wang1294
Pashto,Pashto,pash1269
Polish,Polish,poli1260
PomeranianBrazilian,PomeranianBrazilian,east2293
Portuguese,Portuguese,port1283
PortugueseBrazilian,PortugueseBrazilian,braz1246
Qanjobal,Qanjobal,qanj1241
QuichuaImbaburaQuichua,QuichuaImbaburaQuichua,imba1240
Romanian,Romanian,roma1327
Russian,Russian,russ1263
Samoan,Samoan,samo1305
SaxonOld,SaxonOld,olds1250
Serbian,Serbian,serb1264
Shupamem,Shupamem,bamu1253
Skou,Skou,nucl1634
Spanish,Spanish,stan1288
Swedish,Swedish,swed1254
Tagalog,Tagalog,taga1270
TaiwaneseSouthernMin,TaiwaneseSouthernMin,
Thai,Thai,thai1261
Tommo-So,Tommo-So,tomm1242
TukangBesi,TukangBesi,tuka1247
TukiTukombo,TukiTukombo,tuki1240
TupiTupinamba,TupíTupinambá,tupi1273
Turkish,Turkish,nucl1301
Twi,Twi,akan1251
Vata,Vata,vata1239
Vietnamese,Vietnamese,viet1252
Wolof,Wolof,nucl1347
Xhosa,Xhosa,xhos1239
Yemba,Yémba,yemb1246
